Date,Open,High,Low,Close,AdjClose,Volume,Name,Brand
01-02-2010,17,17,16.95000076,16.95000076,16.95000076,500,HYMTF,Hyundai
02-02-2010,16.95000076,16.95000076,16.95000076,16.95000076,16.95000076,0,HYMTF,Hyundai
03-02-2010,16.64999962,16.75,16.64999962,16.75,16.75,1200,HYMTF,Hyundai
04-02-2010,16.84000015,16.84000015,16.84000015,16.84000015,16.84000015,200,HYMTF,Hyundai
05-02-2010,16.84000015,16.84000015,16.84000015,16.84000015,16.84000015,0,HYMTF,Hyundai
09-02-2010,17.25,17.25,17.25,17.25,17.25,500,HYMTF,Hyundai
10-02-2010,17,17,17,17,17,100,HYMTF,Hyundai
11-02-2010,17,17,17,17,17,0,HYMTF,Hyundai
16-02-2010,17,17,17,17,17,2000,HYMTF,Hyundai
24-02-2010,17.5,17.5,17.5,17.5,17.5,500,HYMTF,Hyundai
25-02-2010,17.5,17.5,17.5,17.5,17.5,0,HYMTF,Hyundai
02-03-2010,17.39999962,17.75,17.39999962,17.5,17.5,1300,HYMTF,Hyundai
03-03-2010,17.5,17.5,17.5,17.5,17.5,300,HYMTF,Hyundai
04-03-2010,17.75,17.75,17.75,17.75,17.75,600,HYMTF,Hyundai
05-03-2010,18.14999962,18.14999962,17.85000038,17.85000038,17.85000038,700,HYMTF,Hyundai
08-03-2010,18.20000076,18.5,17.54999924,18.5,18.5,1600,HYMTF,Hyundai
09-03-2010,17,17.60000038,17,17.60000038,17.60000038,1500,HYMTF,Hyundai
10-03-2010,17.70000076,17.70000076,17.70000076,17.70000076,17.70000076,200,HYMTF,Hyundai
11-03-2010,17.5,17.5,17.5,17.5,17.5,400,HYMTF,Hyundai
12-03-2010,17,17.5,17,17.5,17.5,2400,HYMTF,Hyundai
15-03-2010,17.5,17.5,17.5,17.5,17.5,600,HYMTF,Hyundai
16-03-2010,17.25,17.25,17.25,17.25,17.25,1800,HYMTF,Hyundai
17-03-2010,17.5,18,17.5,17.60000038,17.60000038,1800,HYMTF,Hyundai
18-03-2010,17.60000038,17.60000038,17.60000038,17.60000038,17.60000038,0,HYMTF,Hyundai
22-03-2010,18,18,17.60000038,17.60000038,17.60000038,700,HYMTF,Hyundai
24-03-2010,18,18,18,18,18,500,HYMTF,Hyundai
25-03-2010,18,18,18,18,18,0,HYMTF,Hyundai
26-03-2010,19.14999962,19.14999962,19.14999962,19.14999962,19.14999962,600,HYMTF,Hyundai
29-03-2010,18.5,18.5,18.5,18.5,18.5,200,HYMTF,Hyundai
30-03-2010,18.5,18.5,18.5,18.5,18.5,0,HYMTF,Hyundai
31-03-2010,18.70000076,18.70000076,18,18,18,400,HYMTF,Hyundai
01-04-2010,18.79999924,19.5,18.79999924,19.5,19.5,1100,HYMTF,Hyundai
05-04-2010,19.5,20,19.5,19.5,19.5,8600,HYMTF,Hyundai
06-04-2010,19.35000038,19.75,19.35000038,19.75,19.75,2300,HYMTF,Hyundai
07-04-2010,19.39999962,19.85000038,19.39999962,19.40999985,19.40999985,3200,HYMTF,Hyundai
08-04-2010,19.40999985,19.40999985,19.40999985,19.40999985,19.40999985,0,HYMTF,Hyundai
09-04-2010,19.79999924,19.79999924,19.79999924,19.79999924,19.79999924,400,HYMTF,Hyundai
12-04-2010,19.5,19.64999962,19.5,19.64999962,19.64999962,500,HYMTF,Hyundai
13-04-2010,19.64999962,19.64999962,19.64999962,19.64999962,19.64999962,0,HYMTF,Hyundai
15-04-2010,19.75,19.75,19.75,19.75,19.75,700,HYMTF,Hyundai
16-04-2010,20,20,19.75,19.75,19.75,500,HYMTF,Hyundai
19-04-2010,19.75,19.75,19.75,19.75,19.75,0,HYMTF,Hyundai
21-04-2010,19.75,19.75,19.75,19.75,19.75,100,HYMTF,Hyundai
22-04-2010,19.25,20,19.25,20,20,6800,HYMTF,Hyundai
23-04-2010,20,20,20,20,20,0,HYMTF,Hyundai
26-04-2010,20.5,21,20.5,21,21,400,HYMTF,Hyundai
27-04-2010,20.5,20.70000076,20.5,20.64999962,20.64999962,3200,HYMTF,Hyundai
28-04-2010,20.39999962,21,20.20000076,21,21,10800,HYMTF,Hyundai
29-04-2010,20.70000076,21.45000076,20.70000076,21.45000076,21.45000076,1300,HYMTF,Hyundai
30-04-2010,21.25,21.25,21.25,21.25,21.25,100,HYMTF,Hyundai
03-05-2010,21.5,22.29999924,21.5,22,22,700,HYMTF,Hyundai
04-05-2010,22,22,22,22,22,0,HYMTF,Hyundai
05-05-2010,21.20000076,21.20000076,21.14999962,21.14999962,21.14999962,400,HYMTF,Hyundai
06-05-2010,20.89999962,21,19,19,19,2800,HYMTF,Hyundai
07-05-2010,18.89999962,18.89999962,18.89999962,18.89999962,18.89999962,300,HYMTF,Hyundai
10-05-2010,20.70000076,20.70000076,20,20,20,300,HYMTF,Hyundai
11-05-2010,20.5,20.5,20.5,20.5,20.5,100,HYMTF,Hyundai
12-05-2010,20.79999924,20.89999962,20.70999908,20.89999962,20.89999962,7000,HYMTF,Hyundai
13-05-2010,21.45000076,22,21.45000076,21.5,21.5,6100,HYMTF,Hyundai
14-05-2010,22.14999962,22.75,22.14999962,22.29999924,22.29999924,2100,HYMTF,Hyundai
17-05-2010,22.29999924,22.29999924,22.29999924,22.29999924,22.29999924,0,HYMTF,Hyundai
18-05-2010,21.29999924,21.60000038,21.29999924,21.57999992,21.57999992,2600,HYMTF,Hyundai
19-05-2010,21.57999992,21.57999992,21.57999992,21.57999992,21.57999992,0,HYMTF,Hyundai
20-05-2010,20.5,20.5,20.5,20.5,20.5,300,HYMTF,Hyundai
21-05-2010,20.5,20.5,20.5,20.5,20.5,0,HYMTF,Hyundai
24-05-2010,20.5,20.5,20.5,20.5,20.5,600,HYMTF,Hyundai
25-05-2010,18.70000076,18.70000076,18.70000076,18.70000076,18.70000076,400,HYMTF,Hyundai
26-05-2010,18.70000076,18.70000076,18.70000076,18.70000076,18.70000076,0,HYMTF,Hyundai
27-05-2010,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,400,HYMTF,Hyundai
28-05-2010,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,0,HYMTF,Hyundai
01-06-2010,19.89999962,19.89999962,19.89999962,19.89999962,19.89999962,200,HYMTF,Hyundai
02-06-2010,19.89999962,19.89999962,19.89999962,19.89999962,19.89999962,400,HYMTF,Hyundai
03-06-2010,20,20,20,20,20,1000,HYMTF,Hyundai
08-06-2010,19.29999924,19.29999924,19.29999924,19.29999924,19.29999924,600,HYMTF,Hyundai
09-06-2010,19.35000038,19.35000038,19.35000038,19.35000038,19.35000038,200,HYMTF,Hyundai
10-06-2010,19.35000038,19.35000038,19.35000038,19.35000038,19.35000038,0,HYMTF,Hyundai
11-06-2010,19,19,19,19,19,600,HYMTF,Hyundai
14-06-2010,19.79999924,19.79999924,19.79999924,19.79999924,19.79999924,100,HYMTF,Hyundai
15-06-2010,19.79999924,19.79999924,19.79999924,19.79999924,19.79999924,0,HYMTF,Hyundai
17-06-2010,21.45000076,21.45000076,20.75,20.75,20.75,2300,HYMTF,Hyundai
18-06-2010,20.75,20.75,20.75,20.75,20.75,0,HYMTF,Hyundai
23-06-2010,20.52000046,20.52000046,20.52000046,20.52000046,20.52000046,300,HYMTF,Hyundai
24-06-2010,20.52000046,20.52000046,20.52000046,20.52000046,20.52000046,0,HYMTF,Hyundai
25-06-2010,20.64999962,20.64999962,20.64999962,20.64999962,20.64999962,2500,HYMTF,Hyundai
28-06-2010,20.64999962,20.64999962,20.64999962,20.64999962,20.64999962,0,HYMTF,Hyundai
29-06-2010,20.70000076,20.70000076,20.10000038,20.20000076,20.20000076,1300,HYMTF,Hyundai
30-06-2010,21.25,21.25,21.25,21.25,21.25,400,HYMTF,Hyundai
01-07-2010,20,20,19.79999924,19.79999924,19.79999924,3400,HYMTF,Hyundai
07-07-2010,19.25,19.39999962,19.25,19.39999962,19.39999962,200,HYMTF,Hyundai
08-07-2010,19,19,19,19,19,100,HYMTF,Hyundai
09-07-2010,19.45000076,19.45000076,19.45000076,19.45000076,19.45000076,100,HYMTF,Hyundai
12-07-2010,21,21,21,21,21,1000,HYMTF,Hyundai
13-07-2010,19.75,19.75,19.75,19.75,19.75,1000,HYMTF,Hyundai
14-07-2010,19.14999962,19.14999962,19.14999962,19.14999962,19.14999962,100,HYMTF,Hyundai
15-07-2010,18.60000038,19.29999924,18.60000038,19.29999924,19.29999924,500,HYMTF,Hyundai
20-07-2010,19,19,19,19,19,0,HYMTF,Hyundai
21-07-2010,20.25,20.25,20.25,20.25,20.25,4800,HYMTF,Hyundai
22-07-2010,20.25,20.25,20.25,20.25,20.25,0,HYMTF,Hyundai
26-07-2010,19.20000076,19.20000076,19.20000076,19.20000076,19.20000076,1300,HYMTF,Hyundai
27-07-2010,19.20000076,19.20000076,19.20000076,19.20000076,19.20000076,0,HYMTF,Hyundai
